Variant,Coverage,Coverage_CI,N_alert,Mean,SD,Median,Precision,Recall,F1,F1_CI,r,Wilcoxon-p,Fisher-p
Isolation Forest,17%,[10%–25%],17,107.4,100.9,41.0,0.529,0.098,0.165,[0.077–0.261],—,—,—
Z-score only,98%,[95%–100%],98,188.6,49.2,179.0,0.051,0.714,0.095,[0.020–0.182],0.366,0.016,0.000
Causal only,64%,[54%–73%],64,172.8,74.4,187.5,0.172,0.234,0.198,[0.095–0.291],0.341,0.032,0.000
Full pipeline,69%,[60%–78%],69,164.9,74.9,178.0,0.232,0.340,0.276,[0.165–0.374],0.339,0.031,0.000
Full pipeline + veto,52%,[42%–62%],52,167.0,87.4,195.0,0.250,0.213,0.230,[0.131–0.333],0.371,0.023,0.000
